               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.070097,            0.013799,           0.0048317,            0.022831,             0.33333,            0.020088,           0.0060074,            0.064605,            0.018179,            0.003669,            0.005743,            0.005743,            0.005743
                  88,            0.062898,             0.01439,           0.0045636,            0.022831,             0.33333,            0.020088,           0.0060074,            0.064605,            0.018179,            0.003669,           0.0056935,           0.0056935,           0.0056935
                  89,            0.091019,             0.01652,           0.0065583,            0.022831,             0.33333,            0.020088,           0.0060074,            0.064605,            0.018179,            0.003669,            0.005644,            0.005644,            0.005644
                  90,            0.078798,            0.015279,           0.0053925,            0.022831,             0.33333,            0.020088,           0.0060074,            0.064605,            0.018179,            0.003669,           0.0055945,           0.0055945,           0.0055945
                  91,            0.082257,            0.016263,           0.0061503,            0.022831,             0.33333,            0.020088,           0.0060074,            0.064605,            0.018179,            0.003669,            0.005545,            0.005545,            0.005545
                  92,            0.094089,            0.017052,           0.0077243,            0.019541,             0.66667,            0.018903,           0.0043819,            0.064681,            0.017919,           0.0033157,           0.0054955,           0.0054955,           0.0054955
                  93,            0.079022,            0.016207,           0.0045509,            0.019541,             0.66667,            0.018903,           0.0043819,            0.064681,            0.017919,           0.0033157,            0.005446,            0.005446,            0.005446
                  94,            0.080747,            0.016178,           0.0049868,            0.019541,             0.66667,            0.018903,           0.0043819,            0.064681,            0.017919,           0.0033157,           0.0053965,           0.0053965,           0.0053965
                  95,             0.06701,            0.016605,           0.0041989,            0.019541,             0.66667,            0.018903,           0.0043819,            0.064681,            0.017919,           0.0033157,            0.005347,            0.005347,            0.005347
                  96,            0.091543,            0.014702,           0.0060871,            0.019541,             0.66667,            0.018903,           0.0043819,            0.064681,            0.017919,           0.0033157,           0.0052975,           0.0052975,           0.0052975
                  97,            0.084707,            0.013384,           0.0050234,           0.0046494,             0.66667,           0.0038934,           0.0010344,            0.065486,            0.017556,           0.0029971,            0.005248,            0.005248,            0.005248
                  98,            0.078547,            0.012075,            0.004015,           0.0046494,             0.66667,           0.0038934,           0.0010344,            0.065486,            0.017556,           0.0029971,           0.0051985,           0.0051985,           0.0051985
                  99,            0.082869,            0.013976,           0.0050734,           0.0046494,             0.66667,           0.0038934,           0.0010344,            0.065486,            0.017556,           0.0029971,            0.005149,            0.005149,            0.005149
                 100,            0.059229,            0.016113,           0.0040401,           0.0046494,             0.66667,           0.0038934,           0.0010344,            0.065486,            0.017556,           0.0029971,           0.0050995,           0.0050995,           0.0050995
                 101,            0.072257,            0.014117,           0.0038103,           0.0046494,             0.66667,           0.0038934,           0.0010344,            0.065486,            0.017556,           0.0029971,             0.00505,             0.00505,             0.00505
                 102,            0.070904,            0.011741,           0.0032253,           0.0046494,             0.66667,           0.0038934,           0.0010344,            0.065486,            0.017556,           0.0029971,           0.0050005,           0.0050005,           0.0050005
                 103,            0.096671,            0.014054,           0.0049689,           0.0049571,             0.66667,            0.004526,           0.0013362,            0.065301,            0.017403,             0.00277,            0.004951,            0.004951,            0.004951
                 104,            0.067667,             0.01577,           0.0046116,           0.0049571,             0.66667,            0.004526,           0.0013362,            0.065301,            0.017403,             0.00277,           0.0049015,           0.0049015,           0.0049015
                 105,            0.083313,            0.012383,           0.0042202,           0.0049571,             0.66667,            0.004526,           0.0013362,            0.065301,            0.017403,             0.00277,            0.004852,            0.004852,            0.004852
                 106,            0.070147,            0.014299,           0.0034103,           0.0049571,             0.66667,            0.004526,           0.0013362,            0.065301,            0.017403,             0.00277,           0.0048025,           0.0048025,           0.0048025
                 107,            0.077395,            0.015174,           0.0041233,           0.0049571,             0.66667,            0.004526,           0.0013362,            0.065301,            0.017403,             0.00277,            0.004753,            0.004753,            0.004753
                 108,              0.0668,            0.013591,            0.003719,             0.01275,             0.66667,            0.011861,           0.0033871,            0.063128,            0.017884,           0.0026084,           0.0047035,           0.0047035,           0.0047035
                 109,            0.061867,            0.015124,           0.0032433,             0.01275,             0.66667,            0.011861,           0.0033871,            0.063128,            0.017884,           0.0026084,            0.004654,            0.004654,            0.004654
                 110,            0.087193,            0.011749,           0.0033504,             0.01275,             0.66667,            0.011861,           0.0033871,            0.063128,            0.017884,           0.0026084,           0.0046045,           0.0046045,           0.0046045
                 111,            0.069993,            0.013729,           0.0031847,             0.01275,             0.66667,            0.011861,           0.0033871,            0.063128,            0.017884,           0.0026084,            0.004555,            0.004555,            0.004555
                 112,            0.076831,            0.014243,           0.0041478,             0.01275,             0.66667,            0.011861,           0.0033871,            0.063128,            0.017884,           0.0026084,           0.0045055,           0.0045055,           0.0045055
                 113,            0.074334,            0.010512,           0.0035821,            0.020481,                   1,            0.021237,           0.0064701,            0.061753,            0.018144,           0.0024693,            0.004456,            0.004456,            0.004456
                 114,            0.074531,            0.021994,           0.0042274,            0.020481,                   1,            0.021237,           0.0064701,            0.061753,            0.018144,           0.0024693,           0.0044065,           0.0044065,           0.0044065
                 115,            0.066836,             0.01636,           0.0030648,            0.020481,                   1,            0.021237,           0.0064701,            0.061753,            0.018144,           0.0024693,            0.004357,            0.004357,            0.004357
                 116,            0.065979,            0.012809,           0.0028118,            0.020481,                   1,            0.021237,           0.0064701,            0.061753,            0.018144,           0.0024693,           0.0043075,           0.0043075,           0.0043075
                 117,            0.066388,            0.015099,           0.0030072,            0.020481,                   1,            0.021237,           0.0064701,            0.061753,            0.018144,           0.0024693,            0.004258,            0.004258,            0.004258
                 118,            0.069966,            0.014894,           0.0025007,            0.020481,                   1,            0.021237,           0.0064701,            0.061753,            0.018144,           0.0024693,           0.0042085,           0.0042085,           0.0042085
                 119,            0.091625,            0.011141,           0.0040548,            0.020758,                   1,            0.022614,           0.0051985,            0.061224,            0.018154,           0.0023914,            0.004159,            0.004159,            0.004159
